Id,Name,Ratings,Price_Rs,Original_Price_Rs,Discount_Element,Annual_Power_Usage,Room_Size_sqft,Warranty
0,Godrej 5-In-1 Convertible Cooling 2023 Model 1.5 Ton 3 Star Split Inverter With Heavy Duty Cooling at ...,3.9,"31,490","45,400",30%, 965.71 kWh, 111 - 150 ,10 years warranty on Inverter compressor
1,Blue Star 2023 Model 1.5 Ton 3 Star Split Inverter AC  - White,3.9,"35,990","61,250",41%, 1006.84 kWh, 111 - 150 ,1 Year Warranty on Product
2,CARRIER 2024 Model AI Flexicool Convertible 6-in-1 Cooling 1.5 Ton 3 Star Split Inverter Dual Filtrati...,3.9,"34,990","67,790",48%, 964.1 W, 111 - 150 ,1 Year Warranty on Product
3,MarQ by Flipkart 2024 Range 1.5 Ton 3 Star Split Inverter 4-in-1 Convertible with Turbo Cool Technolog...,4.1,"28,490","50,999",44%, 952.69 W, 111 - 150 ,1 Year Warranty on Product and 10 Years Warranty on Compressor
4,MarQ by Flipkart 2024 1.5 Ton 5 Star Split Inverter 4-in-1 Convertible with Turbo Cool Technology AC  ...,4.1,"31,490","59,999",47%, 767.34 W, 111 - 150 ,1 Year Warranty on Product and 10 Years Warranty on Compressor
5,Daikin 2023 Model 1.5 Ton 3 Star Split Inverter AC with PM 2.5 Filter  - White,4.1,"36,990","58,400",36%, 966.47 kWh, 111 - 150 ,1 Year Warranty on Product and 10 Years Warranty on Compressor and 5 Years Warranty on PCB (Printed Circuit Board)
6,IFB AI Convertible 8-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Inverter With Heavy Duty Cooling AC ...,3.8,"34,990","62,990",44%, 991.28 W, 111 - 150 ,1 Year Warranty on Product
7,Blue Star 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,4,"44,990","75,000",40%, 770.98 W, 111 - 150 ,1 Year Warranty on Product
8,Daikin 2023 Model 1.5 Ton 5 Star Split Inverter AC with PM 2.5 Filter  - White,4.1,"45,490","67,200",32%, 785.67 kWh, 111 - 150 ,1 Year Warranty on Product
9,Voltas 1.5 Ton 3 Star Split Inverter AC  - White,3.9,"32,990","62,990",47%, 975.26 W, 111 - 150 ,1 Year Warranty on Product and 10 Years Warranty on Compressor
10,SAMSUNG Convertible 5-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Inverter AC  - White,4.1,"34,990","60,990",42%, 977.8 kWh, 111 - 150 ,1 Year Standard Warranty on Product and 10 Years Warranty on Compressor
11,Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 3 Star Split Inverter i-sense Technology with Blue ...,3.9,"28,990","42,900",32%, 694.03 kWh,90,10 years warranty on Inverter compressor
12,Panasonic 7 in 1 Convertible with True AI Mode 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect  - ...,4.1,"36,990","55,400",33%, 1002.31 W, 111 - 150 ,1 Year Warranty on Product
13,CARRIER 1.5 Ton 5 Star Split Inverter AC  - White,3.9,"41,990","76,090",44%, 754.05 W, 111 - 150 ,1 Year Warranty on Product
14,LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Vir...,4.1,"37,690","78,990",52%, 852.44 W, 111 - 150 ,1 Year Warranty on Product
15,Voltas 1.5 Ton 5 Star Split Inverter AC  - White,3.9,"38,990","75,990",48%, 751.28 W, 111 - 150 ,1 Year Warranty on Product and 10 Years Warranty on Compressor
16,CARRIER 1 Ton 3 Star Split Inverter AC  - White,3.9,"29,990","56,990",47%, 704.46 W,90,1 Year Warranty on Product
17,Godrej 5-In-1 Convertible 2024 Model 1.5 Ton 5 Star Split Inverter With Heavy Duty Cooling at Extreme ...,3.9,"36,990","54,900",32%, 728.37 W, 111 - 150 ,1 Year Warranty on Product
18,MarQ by Flipkart 2024 Range 1 Ton 3 Star Split Inverter 4-in-1 Convertible with Turbo Cool Technology ...,4.1,"26,490","47,999",44%, 675.18 W,90,1 Year Warranty on Product and 10 Years Warranty on Compressor
19,"Panasonic 7 in 1 Convertible with True AI Mode,Matter Enabled 1.5 Ton 5 Star Split Inverter AC with Wi...",4.1,"44,990","63,400",29%, 774.19 W, 111 - 150 ,1 Year Warranty on Product
20,Hisense 2024 Model 1.5 Ton 3 Star Split Inverter 4-in-1 Convertible With Intelligent 4 modes and PM 2....,4.1,"29,990","48,000",37%, 959.9 W, 111 - 150 ,1 Year Comprehensive Warranty on Product
21,SAMSUNG AI pro 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,4,"36,490","61,990",41%, 977.8 W, 111 - 150 ,1 Year Standard Warranty on Product and 10 Years Warranty on Compressor
22,ONIDA 2023 Model 1.5 Ton 5 Star Split Inverter AC  - White,4.2,"33,490","50,900",34%, 779.15 kWh, 111 - 150 ,1 Year Warranty on Product and 5 Years Warranty on Compressor from Onida
23,Blue Star 1.5 Ton 5 Star Split Inverter AC  - White,4.1,"43,990","74,000",40%, 770.98 W, 111 - 150 ,1 Year Warranty on Product
24,Voltas 2024 Model 1.5 Ton 5 Star Split Inverter AC  - White,3.9,"38,990","75,990",48%, 751.28 kWh, 111 - 150 ,1 Year Warranty on Product and 10 Years Warranty on Compressor
25,Voltas 1.5 Ton 3 Star Split Inverter AC  - White,4.2,"32,990","64,990",49%, 975.26 kWh, 111 - 150 ,1 Year Warranty on Product and 10 Years Warranty on Compressor
26,CARRIER 1.5 Ton 5 Star Split Inverter AC  - White,3.9,"41,990","76,090",44%, 754.05 W, 111 - 150 ,1 Year Warranty on Product
27,Panasonic 7 in 1 Convertible with True AI Mode 1 Ton 3 Star Split Inverter AC with Wi-fi Connect  - Wh...,4.1,"32,990","48,100",31%, 676.64 W,90,1 Year Warranty on Product
28,Godrej 5-In-1 Convertible 2024 Model 1.5 Ton 5 Star Split Inverter With Heavy Duty Cooling at Extreme ...,3.9,"36,990","54,900",32%, 728.37 W, 111 - 150 ,1 Year Warranty on Product
29,Voltas 2023 Model 1.2 Ton 3 Star Split Inverter AC  - White,3.9,"30,990","60,490",48%, 783.99 kWh, 91 - 110 ,1 Year Warranty on Product and 10 Years Warranty on Compressor
30,Whirlpool 6th Sense Convertible 4-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Inverter With Heavy Dut...,4,"31,490","62,000",49%, 943.67 W, 111 - 150 ,1 Year Warranty on Product and 4 Years Warranty on Compressor
31,ONIDA Convertible 5-in-1 Cooling 1.5 Ton 3 Star Split Inverter AC  - White,4.1,"28,990","46,900",38%, 952.59 W, 111 - 150 ,1 Year Warranty on Product and 5 Years Warranty on Compressor
32,MarQ by Flipkart 2023 Range 0.7 Ton 3 Star Split Inverter with Turbo Cool Technology AC  - White,4.2,"21,990","44,449",50%, 530.44 kWh,90,1 Year Warranty on Product and 10 Years Warranty on Compressor
33,CARRIER 2024 Model AI Flexicool Convertible 6-in-1 Cooling 1.5 Ton 3 Star Split Inverter Dual Filtrati...,3.9,"34,990","67,790",48%, 964.1 W, 111 - 150 ,1 Year Warranty on Product
34,Panasonic Convertible 7-in-1 with Additional AI Mode Cooling 2023 Model 1.5 Ton 5 Star Split Inverter ...,4.1,"42,990","63,400",32%, 774.19 kWh, 111 - 150 ,1 Year Comprehensive Warranty on Product
35,realme TechLife 2024 Model 1.5 Ton 5 Star Split Inverter Smart AC with Wi-fi Connect  - White,4.1,"32,999","65,999",50%, 770.08 kWh, 111 - 150 ,1 Year Warranty on Product and 10 Years Warranty on Compressor
36,Godrej 5-In-1 Convertible 2024 Model 1.5 Ton 4 Star Split Inverter 4 Way Air Swing And Heavy Duty Cool...,3.9,"32,990","49,900",33%, 835.07 W, 111 - 150 ,1 Year Warranty on Product
37,Daikin 2023 Model 1 Ton 3 Star Split Inverter AC with PM 2.5 Filter  - White,4.1,"32,990","48,200",31%, 680.4 kWh,90,1 Year Warranty on Product and 10 Years Warranty on Compressor and 5 Years Warranty on PCB (Printed Circuit Board)
38,Godrej 5-In-1 Convertible Cooling 2 Ton 3 Star Split Inverter With Heavy Duty Cooling at Extreme Tempe...,3.9,"40,990","60,990",32%, 1183.2 W, 151 - 200 ,1 Year Warranty on Product
39,LG AI Convertible 6-in-1 Cooling 2024 Model 1 Ton 5 Star Split Inverter 4 Way Air Swing HD Filter with...,4.1,"39,990","75,990",47%, 521.2 W,90,1 Year Warranty on Product
40,Godrej 5-In-1 Convertible Cooling 2023 Model 1.5 Ton 3 Star Split Inverter With Heavy Duty Cooling at ...,3.9,"31,490","45,400",30%, 965.71 kWh, 111 - 150 ,10 years warranty on Inverter compressor
41,Blue Star 2023 Model 1.3 Ton 3 Star Split Inverter AC  - White,4,"33,390","57,500",41%, 865.48 kWh, 111 - 150 ,1 Year Warranty on Product
42,Lloyd 2023 Model 0.8 Ton 3 Star Split Inverter AC  - White,4.1,"26,990","47,990",43%, 549.06 kWh,90,1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor
43,Blue Star 2023 Model 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,4,"36,990","64,250",42%, 1026.46 kWh, 111 - 150 ,1 Year Warranty on Product
44,Hisense 2024 Model 1.5 Ton 5 Star Split Inverter 4-in-1 Convertible With Intelligent 4 modes and PM 2....,4.1,"35,990","60,000",40%, 767.34 W, 111 - 150 ,1 Year Comprehensive Warranty on Product
45,Godrej 1.5 Ton 3 Star Split Inverter AC  - White,3.7,"30,999","47,999",35%, 980.37 kWh, 111 - 150 ,1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor
46,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 5 Star Split Inverter 4 Way Swing, HD Filter with ...",3.9,"47,490","85,990",44%, 744.99 W, 111 - 150 ,1 Year Warranty on Product
47,Godrej 5-in-1 Convertible Cooling 2.5 Ton 3 Star Split Inverter With 4 Way Air Swing and Heavy Duty Co...,3.8,"49,790","68,000",26%, 1330.81 W,,
48,Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 3 Star Split Inverter i-sense Technology with Blue ...,3.9,"28,990","42,900",32%, 694.03 kWh,90,10 years warranty on Inverter compressor
49,SAMSUNG Convertible 5-in-1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect  - W...,4,"32,990","60,990",45%, 977.8 kWh, 111 - 150 ,1 Year Standard Warranty on Product and 10 Years Warranty on Compressor
50,Blue Star 2023 Model 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,4,"36,990","64,250",42%, 1026.46 kWh, 111 - 150 ,1 Year Warranty on Product
51,Blue Star 1 Ton 3 Star Split Inverter AC  - Silver,4.1,"31,990","51,500",37%, 705.78 W,90,1 Year Warranty on Product
52,Daikin 2023 Model 1.8 Ton 3 Star Split Inverter AC  - White,4.1,"49,990","72,900",31%, 1161.78 kWh, 151 - 200 ,1 Year Warranty on Product and 10 Years Warranty on Compressor and 5 Years Warranty on PCB (Printed Circuit Board)
53,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 5 Star Split Dual Inverter 4 Way Swing, HD Filter ...",4.1,"47,490","85,990",44%, 744.54 W, 111 - 150 ,1 Year Warranty on Product
54,Blue Star 1 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,4,"38,390","64,000",40%, 517.83 W,90,1 Year Warranty on Product
55,Whirlpool 6th Sense Convertible 4-in-1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter With Heavy Dut...,4.2,"37,490","70,600",46%, 701.52 W, 111 - 150 ,1 Year Warranty on Product and 4 Years Warranty on Compressor
56,MOTOROLA 1.5 Ton 3 Star Split Inverter AC  - White,4.2,"29,990","52,999",43%, 953.78 W, 111 - 150 ,1 Year Warranty on Product and 10 Years Warranty on Compressor
57,Voltas 1 Ton 3 Star Split Inverter AC  - White,3.8,"29,990","56,990",47%, 672.93 kWh,90,1 Year Warranty on Product and 10 Years Warranty on Compressor
58,SAMSUNG AI pro 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,4,"36,490","61,990",41%, 977.8 W, 111 - 150 ,1 Year Standard Warranty on Product and 10 Years Warranty on Compressor
59,CARRIER 1 Ton 3 Star Split Inverter AC  - White,3.9,"29,990","56,990",47%, 704.46 W,90,1 Year Warranty on Product
60,"Panasonic 7 in 1 Convertible with True AI Mode,Matter Enabled 1 Ton 5 Star Split Inverter AC with Wi-f...",4.1,"38,990","54,100",27%, 524.08 W,90,1 Year Warranty on Product
61,Lloyd 1 Ton 5 Star Split Inverter AC  - White,4.1,"33,990","57,990",41%, 533.89 W,90,1 Year Warranty on Product and 10 Years Warranty on Compressor
62,SAMSUNG Convertible 5-in-1 Cooling 2024 Model 1.5 Ton 5 Star Split Inverter AC  - White,4.1,"44,990","72,990",38%, 749.48 kWh, 111 - 150 ,1 Year Standard Warranty on Product and 10 Years Warranty on Compressor
63,Voltas 1 Ton 3 Star Split Inverter AC  - White,3.9,"28,990","56,990",49%, 669.81 W,90,1 Year Warranty on Product and 10 Years Warranty on Compressor
64,"Haier 1.5 Ton 3 Star Split Dual Inverter 5 in 1 Convertible with Micro Bacterial Filter, 54 High Ambie...",4,"32,990","60,000",45%, 925.24 W, 111 - 150 ,1 Year Warranty on Product and 12 Years Warranty on Compressor
65,CARRIER AI Flexicool Convertible 6-in-1 Cooling 1.5 Ton 4 Star Split Inverter Dual Filtration with HD ...,3.9,"37,990","69,790",45%, 859.34 W, 111 - 150 ,1 Year Warranty on Product
66,Blue Star 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,4,"44,990","75,000",40%, 770.98 W, 111 - 150 ,1 Year Warranty on Product
67,Blue Star 0.8 Ton 3 Star Split Inverter AC  - White,4,"27,990","42,500",34%, 544.39 W,90,1 Year Warranty on Product
