Id,Name,Ratings,Price,Original_Price,Discount_Element,Annual_Power_Usage,Room_Size,Warranty
0,MarQ by Flipkart 2024 Range 1.5 Ton 3 Star Split Inverter 4-in-1 Convertible with Turbo Cool Technolog...,4.1,"28,490","50,999",44%, 952.69 W, 111 - 150 ,1 Year Warranty on Product and 10 Years Warranty on Compressor
1,MarQ by Flipkart 2024 1.5 Ton 5 Star Split Inverter 4-in-1 Convertible with Turbo Cool Technology AC  ...,4.1,"31,490","59,999",47%, 767.34 W, 111 - 150 ,1 Year Warranty on Product and 10 Years Warranty on Compressor
2,Daikin 2023 Model 1.5 Ton 3 Star Split Inverter AC with PM 2.5 Filter  - White,4.1,"36,990","58,400",36%, 966.47 kWh, 111 - 150 ,1 Year Warranty on Product and 10 Years Warranty on Compressor and 5 Years Warranty on PCB (Printed Circuit Board)
3,Voltas 1.5 Ton 5 Star Split Inverter AC  - White,3.9,"38,990","75,990",48%, 751.28 W, 111 - 150 ,1 Year Warranty on Product and 10 Years Warranty on Compressor
4,IFB AI Convertible 8-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Inverter With Heavy Duty Cooling AC ...,3.8,"34,990","62,990",44%, 991.28 W, 111 - 150 ,1 Year Warranty on Product
5,Voltas 1.5 Ton 3 Star Split Inverter AC  - White,3.9,"32,990","62,990",47%, 975.26 W, 111 - 150 ,1 Year Warranty on Product and 10 Years Warranty on Compressor
6,Daikin 2023 Model 1.5 Ton 5 Star Split Inverter AC with PM 2.5 Filter  - White,4.1,"45,490","67,200",32%, 785.67 kWh, 111 - 150 ,1 Year Warranty on Product
7,Panasonic 7 in 1 Convertible with True AI Mode 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect  - ...,4.1,"36,990","55,400",33%, 1002.31 W, 111 - 150 ,1 Year Warranty on Product
8,Voltas 2 Ton 3 Star Split Inverter AC  - White,3.9,"43,990","79,990",45%, 1207.93 W, 151 - 200 ,1 Year Warranty on Product and 10 Years Warranty on Compressor
9,Blue Star 2023 Model 1.5 Ton 3 Star Split Inverter AC  - White,3.9,"35,990","61,250",41%, 1006.84 kWh, 111 - 150 ,1 Year Warranty on Product
10,MarQ by Flipkart 2024 Range 1 Ton 3 Star Split Inverter 4-in-1 Convertible with Turbo Cool Technology ...,4.1,"26,490","47,999",44%, 675.18 W,90,1 Year Warranty on Product and 10 Years Warranty on Compressor
